اسم الموقع,المحافظة,تصنيف الأثر,سعر المصري (جنيه),سعر الطالب المصري (جنيه),سعر الأجنبي (جنيه),سعر الطالب الأجنبي (جنيه),مواعيد الزيارة
المرشد السمعي - متحف الأقصر,الأقصر,متحف,30.0,30.0,50,50.0,
دير الأنبا مسعان,أسوان,إسلامي وقبطي ويهودي,10.0,5.0,100,50.0,من 7ص إلى 5م
معبدا أبو سمبل,أسوان,مصري ويوناني وروماني,30.0,20.0,750,375.0,من 6ص إلى 5م
معبد أبو سمبل - احتفالية تعامد الشمس,أسوان,مصري ويوناني وروماني,10.0,10.0,2000,100.0,من 4ص إلى 5م
معابد فيله,أسوان,مصري ويوناني وروماني,20.0,10.0,550,275.0,من 7ص إلى 9م
بانوراما معابد فيله,أسوان,مصري ويوناني وروماني,20.0,10.0,200,100.0,من 7ص إلى 4م
معبد إدفو,أسوان,مصري ويوناني وروماني,20.0,10.0,550,275.0,من 7ص إلى 5م
معبد كوم أمبو,أسوان,مصري ويوناني وروماني,20.0,10.0,250,125.0,من 7ص إلى 9م
قبة الهوا,أسوان,مصري ويوناني وروماني,10.0,10.0,120,120.0,من 7ص إلى 9م
جزيرة الفنتين,أسوان,مصري ويوناني وروماني,10.0,10.0,200,100.0,من 8ص إلى 9م
المسلة الناقصة,أسوان,مصري ويوناني وروماني,10.0,10.0,100,100.0,من 7ص إلى 9م
معابد كالبشة,أسوان,مصري ويوناني وروماني,10.0,5.0,120,120.0,من 7ص إلى 9م
الكاب,أسوان,مصري ويوناني وروماني,10.0,5.0,120,120.0,من 7ص إلى 5م
معابد عمدا,أسوان,مصري ويوناني وروماني,10.0,5.0,150,75.0,من 7ص إلى 9م
معابد وادي السبوع,أسوان,مصري ويوناني وروماني,10.0,5.0,150,75.0,من 7ص إلى 9م
جزيرة سهيل,أسوان,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 7ص إلى 9م
جبل السلسلة,أسوان,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 7ص إلى 9م
معبد إيزيس - أسوان,أسوان,مصري ويوناني وروماني,10.0,5.0,150,75.0,من 7ص إلى 9م
متحف النوبة,أسوان,متحف,30.0,20.0,200,100.0,من 9ص إلى 5م (خميس/جمعة: 9ص-5م و6م-9م)
قلعة القصير,البحر الأحمر,إسلامي وقبطي ويهودي,10.0,5.0,100,50.0,من 9ص إلى 5م
متحف الغردقة,البحر الأحمر,متحف,80.0,20.0,100,100.0,من 10ص إلى 1ظ وكذلك 5م-11م
المرشد السمعي - متحف الغردقة,البحر الأحمر,متحف,30.0,30.0,50,50.0,
قلعة صلاح الدين - طابا,جنوب سيناء,إسلامي وقبطي ويهودي,10.0,10.0,400,200.0,من 9ص إلى 5م
متحف شرم الشيخ,جنوب سيناء,متحف,20.0,10.0,120,120.0,من 10ص إلى 1ظ وكذلك 5م-11م
المرشد السمعي - متحف شرم الشيخ,جنوب سيناء,متحف,30.0,30.0,50,50.0,
